Title,Release Year,IMDb Rating,Director(s),Cast,Plot Summary
Murder Mubarak,2024,6.7,Homi Adajania,"Pankaj Tripathi, Sara Ali Khan, Vijay Varma, Dimple Kapadia","During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye."
12th Fail,2023,9,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Kinds of Kindness,2024,,Yorgos Lanthimos,"Emma Stone, Margaret Qualley, Jesse Plemons, Willem Dafoe",Plot kept under wraps.
Origin,2023,7.2,Ava DuVernay,"Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash, Emily Yancy",The unspoken system that has shaped America and chronicles how lives today are defined by a hierarchy of human divisions.
Inception,2010,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Leave the World Behind,2023,6.5,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la","A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door."
Road House,1989,6.7,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara","A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a Ph.D. in philosophy, Patrick Swayze sets out to tame the Double Deuce for its owner."
The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.8,Francis Lawrence,"Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell",Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
Ferrari,2023,6.5,Michael Mann,"Adam Driver, Shailene Woodley, Giuseppe Festinese, Alessandro Cremona","Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy."
Dream Scenario,2023,7,Kristoffer Borgli,"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement","A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom."
Winnie-the-Pooh: Blood and Honey,2023,2.9,Rhys Frake-Waterfield,"Nikolai Leon, Maria Taylor, Natasha Rose Mills, Amber Doig-Thorne","After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food."
Miller's Girl,2024,5.2,Jade Halley Bartlett,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",A creative writing assignment yields complex results between a teacher and his talented student.
Land of Bad,2024,6.5,William Eubank,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle",A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.
Mission: Impossible - Dead Reckoning Part One,2023,7.7,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Blade Runner 2049,2017,8,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Deadpool & Wolverine,2024,,Shawn Levy,"Josh Brolin, Ryan Reynolds, Morena Baccarin, Jennifer Garner","Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy."
The Ministry of Ungentlemanly Warfare,2024,,Guy Ritchie,"Henry Cavill, Alan Ritchson, Eiza González, Freddie Fox",The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Priscilla,2023,6.6,Sofia Coppola,"Cailee Spaeny, Jacob Elordi, Ari Cohen, Dagmara Dominczyk","When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend."
May December,2023,6.9,Todd Haynes,"Natalie Portman, Chris Tenzis, Charles Melton, Julianne Moore","Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past."
The Batman,2022,7.8,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Rebel Moon - Part One: A Child of Fire,2023,5.6,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
Ghostbusters,1984,7.8,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
